dataset,split,n_patients,n_train_obs,n_fore_obs,config,init_seed,cd4_scale,rna_scale,map_rmse,map_rel_err,sigma_hat_mean,sigma_hat_std,coverage_forecast_cd4,coverage_forecast_rna,accept,ebfmi,treedepth,ndiverge,ess_min,rhat_max,runtime_s,arch,n_weights,corr_slope_cov_cd4,corr_slope_bias_cd4
"ACTG 315 HIV-ART (pooled, 46 patients)",B,46,275,86,"MAP=2500/400, NUTS=50/50, max_depth=6, tol=1.0e-6, split=B, split_day=56.0",42,236.95116363636367,3.9037723636363633,0.4220599544130118,0.4028962519972606,0.18326557020011028,0.011781852532096364,0.6744186046511628,0.813953488372093,0.7831499747638815,1.4974590705231055,5.9,1,1.9365198949985007,1.6553298230187967,3518.221119916,,,,
"ACTG 315 HIV-ART (pooled, 46 patients)",B,46,275,86,"MAP=2500/400, NUTS=50/50, max_depth=6, tol=1.0e-6, split=B, split_day=56.0, arch=2-16-16-16-2",42,236.95116363636367,3.9037723636363633,0.4547203140775639,0.4340736626000536,0.19716017414142392,0.054232951054811344,0.6744186046511628,0.8488372093023255,0.7809824144738379,0.38682857834089573,5.72,4,1.7443850543413149,1.8892569979135694,2461.467559791,2-16-16-16-2,626,-0.1251935661810866,-0.1386658240784265
