date,t,hy_raw,vix_raw,u1_norm,u2_norm,split
2004-01-02,0.0,398.0,17.49,0.0816542948038176,0.11881188118811876,train
2004-01-05,0.0030905077262693157,397.5,17.11,0.08138918345705196,0.11274353241775788,train
2004-01-06,0.006181015452538631,397.0,16.73,0.08112407211028633,0.10667518364739699,train
2004-01-07,0.009271523178807948,397.0,16.73,0.08112407211028633,0.10667518364739699,train
2004-01-08,0.012362030905077263,398.0,16.73,0.0816542948038176,0.10667518364739699,train
2004-01-09,0.015452538631346577,400.0,16.75,0.08271474019088017,0.1069945704247844,train
2004-01-12,0.018543046357615896,401.0,16.75,0.08324496288441145,0.1069945704247844,train
2004-01-13,0.02163355408388521,401.0,16.75,0.08324496288441145,0.1069945704247844,train
2004-01-14,0.024724061810154525,400.0,16.75,0.08271474019088017,0.1069945704247844,train
2004-01-15,0.02781456953642384,398.0,15.56,0.0816542948038176,0.08799105717023314,train
2004-01-16,0.030905077262693155,394.0,15.21,0.07953340402969247,0.08240178856595337,train
2004-01-20,0.03399558498896247,390.0,15.0,0.07741251325556733,0.07904822740338548,train
2004-01-21,0.03708609271523179,389.0,14.84,0.07688229056203605,0.07649313318428615,train
2004-01-22,0.040176600441501106,388.0,14.71,0.07635206786850478,0.07441711913126796,train
2004-01-23,0.04326710816777042,388.0,14.71,0.07635206786850478,0.07441711913126796,train
2004-01-26,0.046357615894039736,381.0,14.84,0.07264050901378578,0.07649313318428615,train
2004-01-27,0.04944812362030905,381.0,15.35,0.07264050901378578,0.08463749600766526,train
2004-01-28,0.052538631346578366,388.0,16.63,0.07635206786850478,0.10507824976045989,train
2004-01-29,0.05562913907284768,392.0,16.78,0.0784729586426299,0.10747365059086554,train
2004-01-30,0.058719646799116995,403.0,17.11,0.08430540827147402,0.11274353241775788,train
2004-02-02,0.06181015452538631,405.99999999999994,17.14,0.08589607635206783,0.11322261258383902,train
2004-02-03,0.06490066225165562,417.0,17.34,0.09172852598091198,0.11641648035771317,train
2004-02-04,0.06799116997792494,420.0,17.34,0.09331919406150584,0.11641648035771317,train
2004-02-05,0.07108167770419425,422.0,17.34,0.09437963944856839,0.11641648035771317,train
2004-02-06,0.07417218543046358,424.0,16.39,0.09544008483563096,0.10124560843181091,train
2004-02-09,0.0772626931567329,428.0,16.0,0.0975609756097561,0.09501756627275629,train
2004-02-10,0.08035320088300221,428.0,15.94,0.0975609756097561,0.09405940594059403,train
2004-02-11,0.08344370860927153,425.0,15.58,0.09597030752916225,0.08831044394762055,train
2004-02-12,0.08653421633554084,424.0,15.4,0.09544008483563096,0.08543596295113381,train
2004-02-13,0.08962472406181016,423.00000000000006,15.4,0.09490986214209972,0.08543596295113381,train
2004-02-17,0.09271523178807947,423.00000000000006,15.58,0.09490986214209972,0.08831044394762055,train
2004-02-18,0.09580573951434879,423.00000000000006,15.59,0.09490986214209972,0.08847013733631426,train
2004-02-19,0.0988962472406181,423.00000000000006,15.8,0.09490986214209972,0.09182369849888214,train
2004-02-20,0.10198675496688742,424.0,15.9,0.09544008483563096,0.09342063238581921,train
2004-02-23,0.10507726269315673,430.0,15.9,0.09862142099681867,0.09342063238581921,train
2004-02-24,0.10816777041942605,432.0,15.9,0.09968186638388123,0.09342063238581921,train
2004-02-25,0.11125827814569536,434.0,14.93,0.1007423117709438,0.07793037368252952,train
2004-02-26,0.11434878587196468,434.0,14.83,0.1007423117709438,0.07633343979559244,train
2004-02-27,0.11743929359823399,432.0,14.83,0.09968186638388123,0.07633343979559244,train
2004-03-01,0.1205298013245033,429.0,14.55,0.09809119830328739,0.07186202491216863,train
2004-03-02,0.12362030905077262,424.0,14.55,0.09544008483563096,0.07186202491216863,train
2004-03-03,0.12671081677704193,424.0,14.48,0.09544008483563096,0.07074417119131267,train
2004-03-04,0.12980132450331125,424.0,14.55,0.09544008483563096,0.07186202491216863,train
2004-03-05,0.13289183222958056,434.99999999999994,14.55,0.10127253446447505,0.07186202491216863,train
2004-03-08,0.13598233995584988,437.0,15.79,0.10233297985153765,0.0916640051101884,train
2004-03-09,0.1390728476821192,437.0,16.6,0.10233297985153765,0.1045991695943788,train
2004-03-10,0.1421633554083885,438.99999999999994,18.3,0.10339342523860018,0.13174704567230916,train
2004-03-11,0.14525386313465782,440.00000000000006,18.67,0.10392364793213152,0.13765570105397637,train
2004-03-12,0.14834437086092717,441.0,20.34,0.10445387062566278,0.1643244969658256,train
2004-03-15,0.15143487858719648,441.0,20.34,0.10445387062566278,0.1643244969658256,train
2004-03-16,0.1545253863134658,446.0,18.53,0.1071049840933192,0.13541999361226445,train
2004-03-17,0.1576158940397351,446.0,19.15,0.1071049840933192,0.1453209837112743,train
2004-03-18,0.16070640176600443,450.0,19.15,0.10922587486744433,0.1453209837112743,train
2004-03-19,0.16379690949227374,450.0,19.15,0.10922587486744433,0.1453209837112743,train
2004-03-22,0.16688741721854305,451.99999999999994,19.81,0.11028632025450687,0.15586074736505903,train
2004-03-23,0.16997792494481237,453.0,19.81,0.11081654294803818,0.15586074736505903,train
2004-03-24,0.17306843267108168,453.0,19.81,0.11081654294803818,0.15586074736505903,train
2004-03-25,0.176158940397351,453.0,17.88,0.11081654294803818,0.1250399233471734,train
2004-03-26,0.17924944812362031,442.0,17.33,0.10498409331919406,0.11625678696901943,train
2004-03-29,0.18233995584988963,441.0,16.74,0.10445387062566278,0.10683487703609067,train
2004-03-30,0.18543046357615894,434.0,16.65,0.1007423117709438,0.1053976365378473,train
2004-03-31,0.18852097130242826,433.0,16.5,0.10021208907741251,0.1030022357074417,train
2004-04-01,0.19161147902869757,432.0,16.28,0.09968186638388123,0.09948898115618013,train
2004-04-02,0.1947019867549669,416.0,15.64,0.0911983032873807,0.08926860427978281,train
2004-04-05,0.1977924944812362,413.99999999999994,15.64,0.0901378579003181,0.08926860427978281,train
2004-04-06,0.20088300220750552,411.00000000000006,15.64,0.08854718981972431,0.08926860427978281,train
2004-04-07,0.20397350993377483,411.00000000000006,15.32,0.08854718981972431,0.08415841584158415,train
2004-04-08,0.20706401766004415,405.99999999999994,15.76,0.08589607635206783,0.09118492494410729,train
2004-04-12,0.21015452538631346,401.99999999999994,15.76,0.08377518557794271,0.09118492494410729,train
2004-04-13,0.21324503311258278,397.0,15.74,0.08112407211028633,0.09086553816671988,train
2004-04-14,0.2163355408388521,396.0,15.62,0.08059384941675504,0.08894921750239537,train
2004-04-15,0.2194260485651214,396.0,15.62,0.08059384941675504,0.08894921750239537,train
2004-04-16,0.22251655629139072,395.0,15.62,0.08006362672322376,0.08894921750239537,train
