experiment,day,algae,rotifers,egg_ratio,eggs,dead,medium_N
1,0.0,1.5,,,,,80.0
1,0.95,0.83,5.42,0.0,0.0,0.4,80.0
1,2.26,0.7,18.26,0.38,7.02,0.0,80.0
1,2.91,0.38,17.86,0.19,3.41,0.4,80.0
1,3.95,0.41,21.07,0.32,6.82,0.4,80.0
1,4.95,0.39,17.46,0.2,3.41,0.2,80.0
1,5.93,0.91,15.85,0.91,14.45,1.0,80.0
1,6.96,0.3,36.12,0.07,2.61,4.01,80.0
1,8.22,0.77,18.86,0.45,8.43,3.41,80.0
1,9.08,0.42,31.3,0.14,4.41,1.2,80.0
1,9.94,0.24,16.66,0.11,1.81,1.4,80.0
1,10.98,,,,,,80.0
1,11.95,0.51,7.83,0.23,1.81,0.4,80.0
1,13.0,0.62,23.08,0.5,11.44,1.2,80.0
1,13.98,0.32,23.88,0.15,3.61,1.61,80.0
1,14.99,0.67,18.66,0.4,7.42,1.2,80.0
1,16.02,0.25,26.49,0.12,3.21,3.01,80.0
1,16.94,0.38,8.23,0.59,4.82,2.01,80.0
1,17.98,1.64,19.47,0.6,11.64,1.2,80.0
1,18.93,0.69,23.48,0.5,11.64,1.0,80.0
1,20.0,0.27,27.89,0.12,3.21,1.81,80.0
1,20.95,1.23,19.06,0.88,16.86,1.61,80.0
1,22.02,0.99,23.48,0.29,6.82,0.4,80.0
1,23.16,0.18,29.7,0.41,12.24,0.8,80.0
1,23.94,0.26,38.53,0.32,12.24,0.8,80.0
1,24.95,0.94,11.64,0.81,9.43,4.21,80.0
1,25.97,0.62,23.48,0.3,7.02,0.8,80.0
1,26.95,1.21,20.87,0.57,11.84,1.4,80.0
1,27.92,0.25,33.91,0.1,3.41,2.21,80.0
1,29.05,0.36,14.65,0.18,2.61,1.0,80.0
1,30.05,0.46,17.66,0.17,3.01,2.41,80.0
1,30.93,0.62,11.84,0.41,4.82,1.61,80.0
1,31.9,0.76,12.84,0.33,4.21,1.81,80.0
1,32.97,0.56,22.27,0.25,5.62,0.8,80.0
1,34.0,0.6,23.28,0.38,8.83,1.61,80.0
1,34.95,1.21,28.9,0.61,17.66,2.61,80.0
1,36.3,0.15,55.18,0.08,4.62,1.4,80.0
1,37.3,0.13,24.88,0.01,0.2,4.62,80.0
1,37.92,0.21,7.02,0.26,1.81,4.82,80.0
1,38.95,0.97,8.83,0.23,2.01,2.41,80.0
1,40.0,1.35,11.04,1.31,14.45,3.41,80.0
1,40.93,0.71,26.49,0.42,11.04,1.0,80.0
1,41.95,0.43,33.31,0.15,5.02,2.21,80.0
1,43.19,0.35,21.47,0.2,4.21,4.41,80.0
1,44.19,0.47,12.64,0.35,4.41,2.21,80.0
1,44.94,0.77,12.24,0.44,5.42,2.41,80.0
1,45.93,0.86,9.03,0.47,4.21,1.61,80.0
1,47.07,1.02,52.37,0.39,20.47,1.4,80.0
1,48.0,0.29,40.94,0.14,5.62,1.61,80.0
1,48.93,0.65,33.71,0.45,15.05,6.82,80.0
1,49.99,0.3,16.25,0.17,2.81,2.21,80.0
1,51.01,0.22,12.84,0.13,1.61,2.21,80.0
1,51.95,0.35,9.63,0.46,4.41,1.2,80.0
1,52.97,1.51,12.64,0.62,7.83,2.61,80.0
1,53.98,1.01,34.52,0.59,20.47,3.61,80.0
1,54.94,0.28,41.94,0.1,4.21,1.2,80.0
1,55.99,0.28,25.08,0.05,1.2,1.2,80.0
1,57.01,0.75,23.08,0.67,15.45,1.2,80.0
1,58.02,0.49,25.89,0.35,9.03,1.4,80.0
1,58.98,0.36,33.91,0.25,8.43,2.41,80.0
1,59.93,0.64,52.17,0.61,31.91,3.01,80.0
1,60.9,0.16,52.37,0.13,7.02,3.41,80.0
1,61.98,0.09,27.89,0.02,0.6,5.42,80.0
1,62.97,0.56,5.42,0.81,4.41,4.21,80.0
1,64.09,0.57,39.93,0.2,8.03,1.2,80.0
1,65.35,0.61,39.53,0.21,8.43,1.0,80.0
1,65.97,0.37,36.92,0.26,9.63,0.6,80.0
1,66.92,0.44,21.07,0.5,10.43,1.2,80.0
1,67.99,0.2,17.26,0.05,0.8,0.4,80.0
1,68.95,0.42,17.46,0.37,6.42,0.4,80.0
1,69.97,0.94,22.88,0.7,16.05,2.01,80.0
1,71.15,0.33,41.74,0.18,7.63,3.01,80.0
1,72.29,0.28,19.47,0.2,3.81,1.4,80.0
1,72.95,0.51,18.46,0.49,9.03,2.21,80.0
1,73.98,0.81,38.73,0.39,15.25,1.4,80.0
1,74.98,0.19,39.73,0.13,5.02,1.61,80.0
1,75.96,0.1,21.47,0.09,2.01,0.8,80.0
1,76.94,0.32,13.24,0.56,7.42,5.22,80.0
1,77.99,0.76,15.65,0.63,9.83,3.81,80.0
1,79.04,0.58,26.09,0.58,15.05,3.41,80.0
1,79.94,0.57,35.12,0.39,13.65,3.61,80.0
1,81.05,0.4,47.76,0.41,19.67,4.21,80.0
