experiment,day,algae,rotifers,egg_ratio,eggs,dead,medium_N
1,81.99,0.35,47.56,0.35,16.66,3.41,80.0
1,82.95,0.29,43.14,0.22,9.63,5.82,80.0
1,84.13,0.33,31.1,0.3,9.23,7.02,80.0
1,85.32,0.31,30.3,0.35,10.64,5.02,80.0
1,85.98,0.3,28.7,0.32,9.23,3.41,80.0
1,87.24,0.3,23.08,0.32,7.42,2.41,80.0
1,87.93,0.32,23.08,0.43,10.03,1.81,80.0
1,88.95,0.38,20.67,0.25,5.22,1.2,80.0
1,89.97,0.85,25.49,0.53,13.44,1.81,80.0
1,90.97,0.25,41.54,0.05,2.01,1.2,80.0
1,92.08,0.33,38.13,0.07,2.81,1.61,80.0
1,93.02,0.35,12.84,0.3,3.81,3.01,80.0
1,94.03,0.37,17.26,0.24,4.21,1.4,80.0
1,94.96,1.0,20.07,0.81,16.25,1.81,80.0
1,95.96,0.34,38.93,0.2,7.83,1.2,80.0
1,96.99,0.22,21.47,0.2,4.21,1.2,80.0
1,97.98,0.31,21.07,0.22,4.62,4.41,80.0
1,99.06,0.28,16.86,0.15,2.61,2.41,80.0
1,100.04,0.23,7.83,0.13,1.0,0.8,80.0
1,100.93,0.33,6.02,0.4,2.41,1.2,80.0
1,101.95,0.8,5.82,0.83,4.82,1.4,80.0
1,102.99,0.78,23.28,0.5,11.64,0.6,80.0
1,103.94,0.62,16.86,0.48,8.03,0.8,80.0
1,104.93,0.28,34.72,0.18,6.22,1.4,80.0
1,106.05,0.21,23.68,0.13,3.01,1.0,80.0
1,107.14,0.23,15.25,0.13,2.01,1.4,80.0
1,107.92,0.3,11.84,0.37,4.41,1.2,80.0
1,108.98,0.51,14.25,0.37,5.22,1.4,80.0
1,110.0,0.54,20.67,0.53,11.04,0.8,80.0
1,110.97,0.44,30.5,0.34,10.23,0.2,80.0
1,111.92,0.53,30.3,0.44,13.44,3.01,80.0
1,113.02,0.24,25.89,0.16,4.01,4.62,80.0
1,113.96,0.17,24.08,0.05,1.2,3.01,80.0
1,114.92,0.25,10.03,0.28,2.81,1.2,80.0
1,115.93,0.59,7.63,0.29,2.21,0.6,80.0
1,116.96,0.82,26.49,0.63,16.66,4.21,80.0
1,117.97,0.3,41.94,0.13,5.62,1.4,80.0
1,118.98,0.25,35.92,0.15,5.22,3.21,80.0
1,119.99,0.4,26.89,0.41,11.04,3.01,80.0
1,121.19,0.24,23.28,0.16,3.61,2.01,80.0
1,121.99,0.36,19.26,0.59,11.44,2.01,80.0
1,122.94,1.51,25.69,1.0,25.69,3.81,80.0
1,124.02,0.54,77.06,0.19,14.65,5.22,80.0
1,125.05,0.19,57.19,0.09,5.42,6.42,80.0
1,126.02,0.19,31.91,0.05,1.61,12.84,80.0
1,127.04,0.4,15.25,0.88,13.44,11.84,80.0
1,128.22,0.27,24.08,0.24,5.82,6.22,80.0
1,129.02,0.41,23.48,0.59,13.85,5.82,80.0
1,129.98,0.88,34.52,1.05,36.32,6.62,80.0
1,130.98,0.27,42.54,0.18,7.63,6.62,80.0
1,131.97,0.43,30.5,0.59,18.06,4.62,80.0
1,132.95,0.46,42.74,0.51,21.67,3.21,80.0
1,134.03,0.5,51.77,0.33,16.86,8.43,80.0
1,135.35,0.23,31.3,0.06,1.81,8.23,80.0
1,136.18,0.42,15.05,0.72,10.84,9.43,80.0
1,136.99,0.66,28.29,0.72,20.27,7.83,80.0
1,137.98,0.21,36.32,0.46,16.66,1.2,80.0
1,139.0,0.17,36.72,0.23,8.43,2.41,80.0
1,139.93,0.18,48.16,0.3,14.25,1.81,80.0
1,141.31,0.14,73.65,0.29,21.47,3.21,80.0
1,142.32,0.36,28.29,0.26,7.42,0.8,80.0
1,142.96,0.35,27.09,0.2,5.42,3.21,80.0
1,143.95,0.71,45.35,0.54,24.68,1.61,80.0
1,144.99,0.81,42.94,0.21,8.83,2.01,80.0
1,146.01,0.99,19.67,0.06,1.2,2.01,80.0
1,147.05,0.75,12.44,0.4,5.02,3.41,80.0
1,148.25,0.55,18.26,0.29,5.22,1.81,80.0
1,149.31,0.36,31.1,0.24,7.42,0.8,80.0
1,149.93,0.4,28.09,0.36,10.23,0.4,80.0
1,150.94,0.55,15.45,0.7,10.84,0.4,80.0
1,151.95,0.24,40.54,0.12,5.02,2.81,80.0
1,152.96,0.51,47.16,0.3,14.05,1.81,80.0
1,154.2,,,,,,80.0
1,155.18,0.21,20.07,0.03,0.6,2.81,80.0
1,156.38,0.39,13.04,0.4,5.22,3.61,80.0
1,156.95,0.5,18.26,0.44,8.03,1.2,80.0
1,157.91,0.15,34.52,0.88,30.3,0.4,80.0
1,159.0,0.33,49.36,0.09,4.21,3.21,80.0
1,159.9,0.28,44.35,0.11,4.82,4.21,80.0
1,160.98,0.14,11.64,0.1,1.2,1.0,80.0
1,162.0,0.18,9.43,0.49,4.62,2.01,80.0
1,163.03,0.42,20.07,0.52,10.43,4.82,80.0
1,163.98,0.52,29.1,0.46,13.24,1.2,80.0
1,164.96,0.82,52.37,0.57,29.7,1.4,80.0
1,165.93,0.2,57.79,0.06,3.21,2.21,80.0
1,166.94,0.14,35.12,0.06,2.01,4.41,80.0
1,168.04,0.39,15.85,0.65,10.23,3.61,80.0
1,168.89,0.53,17.26,0.53,9.23,0.8,80.0
1,170.12,0.22,33.71,0.18,6.02,1.0,80.0
1,170.95,0.29,13.04,0.28,3.61,1.0,80.0
1,172.02,1.06,17.86,0.79,14.05,3.21,80.0
1,173.01,0.5,42.14,0.17,7.22,0.6,80.0
1,173.97,0.16,35.32,0.04,1.4,1.61,80.0
1,174.97,0.25,18.26,0.14,2.61,2.41,80.0
1,175.85,0.48,11.44,0.88,10.03,3.01,80.0
1,177.14,0.43,21.67,0.29,6.22,1.0,80.0
1,177.93,0.44,25.28,0.37,9.43,1.4,80.0
1,178.94,0.87,30.5,0.59,17.86,2.41,80.0
1,179.91,0.19,35.32,0.07,2.61,1.81,80.0
1,180.96,0.52,27.29,0.68,18.46,5.02,80.0
1,182.0,0.23,20.47,0.12,2.41,1.81,80.0
1,182.91,0.47,14.65,0.59,8.63,2.81,80.0
1,184.05,0.37,12.84,0.27,3.41,1.4,80.0
1,184.91,0.46,17.46,0.66,11.44,0.6,80.0
1,185.91,1.19,30.9,0.74,22.88,2.81,80.0
1,186.93,0.37,57.59,0.23,13.44,4.41,80.0
1,187.94,0.21,41.54,0.09,3.81,7.83,80.0
1,188.9,0.25,21.47,0.21,4.41,9.03,80.0
1,189.9,0.47,17.26,0.57,9.83,5.42,80.0
1,191.85,0.53,18.26,0.68,12.44,3.01,80.0
1,192.91,0.91,27.89,0.69,19.26,4.62,80.0
1,193.94,0.37,53.98,0.13,7.02,3.81,80.0
1,194.91,0.19,26.89,0.09,2.41,3.21,80.0
1,195.92,0.73,24.28,0.57,13.85,2.41,80.0
1,196.92,0.31,18.86,0.29,5.42,1.61,80.0
1,198.9,0.61,4.41,0.23,1.0,0.4,80.0
1,199.98,0.96,33.31,0.68,22.68,1.81,80.0
1,200.88,0.55,81.67,0.53,43.34,2.81,80.0
1,201.91,0.13,18.46,0.16,3.01,0.6,80.0
1,202.96,0.29,14.45,0.1,1.4,4.01,80.0
1,203.95,,,,,,80.0
1,205.05,0.48,24.48,0.27,6.62,0.0,80.0
1,205.96,0.38,22.07,0.28,6.22,1.2,80.0
1,206.92,0.45,17.26,0.44,7.63,1.4,80.0
1,207.92,0.47,27.69,0.3,8.23,0.2,80.0
1,208.94,0.42,37.32,0.3,11.24,1.61,80.0
1,209.95,0.74,34.31,0.34,11.64,1.2,80.0
1,211.08,0.14,57.79,0.08,4.41,2.81,80.0
1,211.99,0.15,27.29,0.02,0.6,1.0,80.0
1,212.95,0.39,13.65,0.47,6.42,2.21,80.0
1,213.92,0.9,13.44,0.6,8.03,1.0,80.0
1,214.99,0.81,30.7,0.46,14.25,0.6,80.0
1,215.98,0.42,37.53,0.19,7.02,1.0,80.0
1,216.99,0.37,30.3,0.13,4.01,2.01,80.0
1,218.05,,,,,,80.0
1,219.32,0.38,18.46,0.23,4.21,1.4,80.0
1,220.04,0.51,13.65,0.69,9.43,1.4,80.0
1,221.01,0.48,14.85,0.18,2.61,0.2,80.0
1,221.98,0.42,32.71,0.33,10.64,1.2,80.0
1,222.96,0.84,45.95,0.55,25.08,3.01,80.0
1,223.97,0.26,46.15,0.06,2.61,2.81,80.0
1,225.23,0.24,29.7,0.09,2.61,1.61,80.0
1,226.16,0.34,8.03,0.47,3.81,1.2,80.0
1,226.94,,,,,,80.0
1,227.94,0.66,20.87,0.38,8.03,0.4,80.0
1,228.93,0.67,50.37,0.2,9.83,1.61,80.0
1,229.97,0.41,55.59,0.18,10.03,3.21,80.0
1,230.93,0.46,34.92,0.18,6.22,3.01,80.0
1,232.05,0.41,27.49,0.09,2.41,4.21,80.0
1,232.9,0.43,12.24,0.36,4.41,2.61,80.0
1,233.9,0.41,11.04,0.33,3.61,1.81,80.0
1,234.94,0.45,3.21,0.38,1.2,0.0,80.0
1,235.97,0.3,44.95,0.14,6.22,1.4,80.0
1,237.0,,,,,,80.0
1,238.05,0.32,24.08,0.08,2.01,3.01,80.0
1,239.16,0.42,16.66,0.29,4.82,3.41,80.0
1,240.16,0.82,10.64,0.81,8.63,1.4,80.0
1,240.95,0.66,6.42,0.31,2.01,0.4,80.0
1,241.98,0.55,37.32,0.32,12.04,0.6,80.0
1,243.01,0.32,35.72,0.16,5.62,1.0,80.0
1,243.97,0.17,25.49,0.06,1.61,1.81,80.0
1,244.94,0.61,11.64,0.6,7.02,3.01,80.0
1,245.97,0.72,24.28,0.43,10.43,0.6,80.0
1,247.25,0.2,27.29,0.06,1.61,0.4,80.0
1,248.18,0.39,18.06,0.38,6.82,1.61,80.0
1,248.96,0.29,18.06,0.27,4.82,1.0,80.0
1,249.94,0.11,6.82,0.32,2.21,0.2,80.0
1,251.15,0.71,14.45,0.21,3.01,0.0,80.0
1,251.95,0.42,13.44,0.21,2.81,0.4,80.0
1,252.98,0.72,25.89,0.71,18.46,0.2,80.0
1,254.17,0.24,26.09,0.1,2.61,0.4,80.0
1,254.98,1.44,13.65,0.28,3.81,0.4,80.0
1,255.93,0.67,25.08,0.39,9.83,0.8,80.0
1,257.01,0.46,16.66,0.19,3.21,1.61,80.0
1,258.04,0.37,22.68,0.27,6.02,0.6,80.0
1,258.9,0.43,10.43,0.71,7.42,2.21,80.0
1,260.36,0.64,27.09,0.26,7.02,1.4,80.0
1,261.08,1.11,22.48,0.13,3.01,1.2,80.0
1,261.93,0.47,17.06,0.46,7.83,1.81,80.0
1,263.03,0.42,31.91,0.11,3.61,2.21,80.0
1,264.0,0.47,26.69,0.05,1.2,1.81,80.0
1,264.96,0.45,17.86,0.25,4.41,1.61,80.0
1,265.95,0.44,16.25,0.17,2.81,1.2,80.0
1,267.04,0.73,17.46,0.41,7.22,0.8,80.0
1,268.21,0.33,19.87,0.06,1.2,0.4,80.0
1,268.95,0.42,18.46,0.11,2.01,1.0,80.0
1,269.97,0.82,15.45,0.51,7.83,1.61,80.0
1,271.02,0.71,33.11,0.25,8.43,1.4,80.0
1,271.97,0.41,38.13,0.13,4.82,0.8,80.0
1,272.99,0.83,18.26,0.46,8.43,1.61,80.0
1,274.14,0.48,26.29,0.13,3.41,0.6,80.0
1,275.1,0.56,19.26,0.22,4.21,0.6,80.0
1,275.97,0.65,22.48,0.27,6.02,0.4,80.0
1,277.0,0.77,21.67,0.56,12.24,0.8,80.0
1,277.96,0.3,30.7,0.09,2.81,2.41,80.0
1,278.98,0.52,25.49,0.21,5.42,2.21,80.0
1,279.97,1.26,43.14,0.22,9.63,7.42,80.0
1,281.31,0.22,30.9,0.05,1.61,1.2,80.0
1,282.04,0.11,19.06,0.12,2.21,1.61,80.0
1,282.95,,0.0,,0.0,0.0,80.0
1,283.96,0.58,2.61,0.23,0.6,0.0,80.0
1,284.97,0.88,10.03,0.62,6.22,1.61,80.0
1,286.0,0.87,33.71,0.35,11.64,2.21,80.0
1,286.98,0.4,34.31,0.07,2.41,0.8,80.0
1,288.25,0.46,36.92,0.14,5.22,1.61,80.0
1,289.13,0.29,26.29,0.09,2.41,0.4,80.0
1,289.9,0.12,21.67,0.24,5.22,1.2,80.0
1,290.93,0.73,23.68,0.33,7.83,1.61,80.0
1,291.95,0.58,42.54,0.26,11.04,0.8,80.0
1,292.94,0.39,21.67,0.29,6.22,3.01,80.0
1,293.95,0.39,25.49,0.14,3.61,1.2,80.0
1,295.0,0.36,20.87,0.16,3.41,1.0,80.0
1,296.15,0.47,13.24,0.33,4.41,2.81,80.0
1,296.91,1.16,19.47,0.34,6.62,1.2,80.0
1,298.0,0.64,18.86,0.45,8.43,0.8,80.0
1,298.97,0.25,41.74,0.08,3.41,0.4,80.0
1,299.97,0.51,23.88,0.33,7.83,1.2,80.0
1,300.97,0.41,37.73,0.09,3.21,1.61,80.0
1,302.19,0.71,40.94,0.09,3.81,1.2,80.0
1,303.11,0.61,26.69,0.06,1.61,0.8,80.0
1,303.93,1.04,19.26,0.74,14.25,1.0,80.0
1,305.14,0.54,31.3,0.31,9.83,2.41,80.0
1,305.92,1.44,34.92,0.16,5.62,8.83,80.0
1,307.01,0.47,23.68,0.57,13.44,7.02,80.0
1,308.13,0.35,20.27,0.15,3.01,3.41,80.0
1,309.16,0.45,17.86,0.6,10.64,5.62,80.0
1,310.0,0.42,23.28,0.53,12.44,2.81,80.0
1,311.01,0.78,36.92,0.71,26.29,4.21,80.0
1,312.03,0.18,32.31,0.11,3.41,3.61,80.0
1,312.92,0.64,24.68,0.67,16.45,5.62,80.0
1,314.02,0.71,28.9,0.78,22.48,4.41,80.0
1,314.99,0.33,38.93,0.2,7.63,7.42,80.0
1,316.21,0.38,16.45,0.52,8.63,8.03,80.0
1,317.05,0.89,23.28,0.73,17.06,6.02,80.0
1,317.95,0.57,26.89,0.25,6.82,6.02,80.0
1,319.07,0.13,25.69,0.03,0.8,1.2,80.0
1,319.92,0.36,19.87,0.56,11.04,1.2,80.0
1,321.06,0.36,36.52,0.27,9.83,0.8,80.0
1,321.95,0.36,53.18,0.13,6.82,0.4,80.0
1,323.17,0.27,77.26,0.52,39.93,2.01,80.0
1,324.19,0.13,140.87,0.02,3.01,1.0,80.0
1,324.94,0.15,86.09,0.02,1.61,3.01,80.0
1,325.99,0.1,20.27,0.14,2.81,0.6,80.0
1,326.99,0.6,15.65,0.37,5.82,1.4,80.0
1,327.99,1.63,58.6,0.8,46.76,1.2,80.0
1,328.96,1.54,99.93,0.63,62.61,1.61,80.0
1,330.26,0.43,225.55,0.02,5.62,5.02,80.0
1,331.21,0.46,56.79,0.04,2.01,25.28,80.0
1,331.95,0.32,13.85,0.45,6.22,1.61,80.0
1,332.94,0.58,9.03,0.33,3.01,0.4,80.0
1,333.97,1.15,27.29,0.52,14.25,1.61,80.0
1,335.05,1.91,48.56,0.42,20.47,1.2,80.0
1,335.97,0.65,69.23,0.06,4.41,3.21,80.0
1,337.24,0.53,46.35,0.15,7.02,1.61,80.0
1,338.06,0.28,26.29,0.05,1.2,1.61,80.0
1,338.97,0.27,11.64,0.24,2.81,0.6,80.0
1,339.93,0.58,8.63,0.12,1.0,0.4,80.0
1,341.06,0.91,15.25,0.61,9.23,0.6,80.0
1,341.98,1.1,33.31,0.5,16.66,1.81,80.0
1,347.01,0.67,34.31,0.33,11.44,0.8,80.0
1,347.96,0.47,39.93,0.29,11.64,0.4,80.0
1,352.1,0.47,20.07,0.43,8.63,1.4,80.0
1,352.93,0.67,19.87,0.41,8.23,0.8,80.0
1,353.96,1.26,44.35,0.64,28.5,0.6,80.0
1,354.97,0.65,63.21,0.21,13.44,1.2,80.0
1,355.95,0.37,41.54,0.07,3.01,3.21,80.0
1,356.95,0.44,28.9,0.24,6.82,3.41,80.0
1,358.19,0.43,18.66,0.3,5.62,0.6,80.0
1,359.13,0.52,19.67,0.22,4.41,0.6,80.0
1,360.01,0.66,10.64,0.68,7.22,2.41,80.0
1,360.9,1.2,37.73,0.25,9.43,2.21,80.0
1,361.95,0.44,36.52,0.24,8.83,1.2,80.0
1,362.92,0.54,21.07,0.22,4.62,4.41,80.0
1,363.94,0.77,30.3,0.41,12.44,4.62,80.0
1,365.03,0.57,35.32,0.35,12.24,2.81,80.0
1,366.18,0.31,20.27,0.12,2.41,2.01,80.0
1,366.91,0.46,14.65,0.56,8.23,1.81,80.0
1,367.94,0.77,21.07,0.56,11.84,0.6,80.0
1,368.91,0.87,34.52,0.42,14.65,0.8,80.0
1,369.93,0.49,38.73,0.09,3.41,0.4,80.0
1,370.95,0.36,23.68,0.05,1.2,1.4,80.0
1,371.98,0.65,13.44,0.51,6.82,1.0,80.0
1,373.01,0.68,27.49,0.41,11.24,0.4,80.0
1,373.95,0.79,36.52,0.41,14.85,0.4,80.0
2,0.0,1.63,0.6,1.33,0.8,0.0,80.0
2,1.0,0.8,0.4,1.0,0.4,0.0,80.0
2,2.0,0.64,10.23,0.47,4.82,0.6,80.0
2,3.0,0.4,17.26,0.23,4.01,0.0,80.0
2,4.0,0.16,6.42,0.16,1.0,0.2,80.0
2,5.0,0.14,3.81,0.42,1.61,0.2,80.0
2,6.0,0.26,1.4,0.43,0.6,0.0,80.0
2,7.0,1.22,3.61,0.22,0.8,0.0,80.0
2,8.0,0.95,4.82,0.5,2.41,0.4,80.0
2,9.0,0.39,23.08,0.22,5.02,0.2,80.0
2,10.0,0.12,18.06,0.1,1.81,0.6,80.0
2,11.0,0.13,3.61,0.11,0.4,0.4,80.0
2,12.0,0.45,2.41,0.25,0.6,0.4,80.0
2,13.0,0.61,4.62,0.91,4.21,0.2,80.0
2,14.0,1.14,9.43,0.38,3.61,0.4,80.0
2,15.0,0.63,25.28,0.23,5.82,0.4,80.0
2,16.0,0.13,14.05,0.14,2.01,0.0,80.0
2,17.0,0.4,7.63,0.26,2.01,0.8,80.0
2,18.0,0.73,7.02,0.57,4.01,0.2,80.0
2,19.0,0.44,27.69,0.15,4.21,0.8,80.0
2,20.0,0.35,21.07,0.11,2.41,0.0,80.0
2,21.0,0.24,20.47,0.06,1.2,0.6,80.0
2,22.0,0.46,22.07,0.25,5.62,0.2,80.0
2,23.0,1.03,16.86,0.38,6.42,0.4,80.0
2,24.0,0.49,24.28,0.1,2.41,0.4,80.0
2,25.0,0.31,14.65,0.14,2.01,0.4,80.0
2,26.0,0.66,6.82,0.44,3.01,0.4,80.0
2,27.0,0.77,10.43,0.5,5.22,0.4,80.0
2,28.0,0.56,27.29,0.11,3.01,0.4,80.0
2,29.0,0.18,39.73,0.09,3.61,0.8,80.0
2,30.0,0.22,21.67,0.07,1.61,1.0,80.0
2,31.0,0.46,7.22,0.75,5.42,0.4,80.0
2,32.0,0.74,10.03,0.3,3.01,0.6,80.0
2,33.0,0.66,15.05,0.2,3.01,0.2,80.0
2,34.0,0.56,7.63,0.24,1.81,0.4,80.0
2,35.0,0.76,22.07,0.36,8.03,0.4,80.0
2,36.0,0.43,24.88,0.15,3.61,0.2,80.0
2,37.0,0.48,23.48,0.22,5.22,0.6,80.0
2,38.0,0.75,13.44,0.25,3.41,0.2,80.0
2,39.0,0.45,16.66,0.06,1.0,0.2,80.0
2,40.0,0.36,10.23,0.24,2.41,0.6,80.0
2,41.0,0.55,5.82,0.52,3.01,0.0,80.0
2,42.0,0.85,12.24,0.8,9.83,0.0,80.0
2,43.0,0.64,40.33,0.28,11.24,0.2,80.0
2,44.0,0.45,48.96,0.16,7.63,0.6,80.0
2,45.0,0.5,21.47,0.07,1.4,0.4,80.0
2,46.0,0.61,14.05,0.29,4.01,0.4,80.0
2,47.0,0.57,12.44,0.34,4.21,0.6,80.0
2,48.0,0.5,12.04,0.2,2.41,0.0,80.0
2,49.0,0.66,10.64,0.53,5.62,0.4,80.0
2,50.0,0.79,13.65,0.21,2.81,0.0,80.0
2,51.0,0.9,24.68,0.41,10.03,0.6,80.0
2,52.0,0.49,20.47,0.09,1.81,0.8,80.0
2,53.0,0.57,16.25,0.25,4.01,0.8,80.0
2,54.0,0.69,15.25,0.32,4.82,0.4,80.0
2,55.0,0.63,19.47,0.36,7.02,0.8,80.0
2,56.0,1.05,38.93,0.45,17.46,0.4,80.0
2,57.0,0.43,32.91,0.09,3.01,0.8,80.0
2,58.0,0.44,19.67,0.13,2.61,0.4,80.0
2,59.0,0.51,26.49,0.28,7.42,0.6,80.0
2,60.0,0.6,16.86,0.3,5.02,0.8,80.0
2,61.0,0.42,10.64,0.11,1.2,0.4,80.0
2,62.0,0.44,24.68,0.27,6.62,0.8,80.0
2,63.0,0.53,20.87,0.37,7.63,0.4,80.0
2,64.0,0.83,32.31,0.32,10.43,0.6,80.0
2,65.0,0.6,36.32,0.18,6.62,0.0,80.0
2,66.0,0.25,21.67,0.04,0.8,0.6,80.0
2,67.0,0.28,7.83,0.1,0.8,1.0,80.0
2,68.0,0.35,3.21,0.25,0.8,0.8,80.0
2,69.0,0.65,11.84,0.39,4.62,0.6,80.0
2,70.0,0.8,10.64,0.26,2.81,0.2,80.0
2,71.0,0.69,31.1,0.26,8.23,0.0,80.0
2,72.0,0.98,32.11,0.42,13.65,0.2,80.0
2,73.0,0.95,42.54,0.59,25.28,2.61,80.0
2,74.0,0.29,28.29,0.02,0.6,1.4,80.0
2,75.0,0.26,8.03,0.03,0.2,1.2,80.0
2,76.0,0.42,7.42,0.41,3.01,0.6,80.0
2,77.0,0.61,4.01,0.75,3.01,0.0,80.0
2,78.0,1.23,6.82,0.41,2.81,0.6,80.0
2,79.0,1.14,29.9,0.5,15.05,0.4,80.0
2,80.0,0.59,30.7,0.22,6.62,0.4,80.0
2,81.0,0.51,21.47,0.16,3.41,0.4,80.0
2,82.0,0.51,15.45,0.26,4.01,0.4,80.0
2,83.0,0.36,25.28,0.39,9.83,0.0,80.0
2,84.0,0.83,33.11,0.52,17.26,0.6,80.0
2,85.0,1.08,34.11,0.71,24.08,1.0,80.0
2,86.0,0.22,30.1,0.1,3.01,1.2,80.0
2,87.0,0.39,13.65,0.21,2.81,1.61,80.0
2,88.0,0.56,17.26,0.24,4.21,0.4,80.0
2,89.0,0.7,14.05,0.37,5.22,0.8,80.0
2,90.0,0.62,22.27,0.23,5.22,0.6,80.0
2,91.0,0.61,21.47,0.37,8.03,0.6,80.0
2,92.0,0.64,21.27,0.36,7.63,0.2,80.0
2,93.0,1.03,16.05,0.59,9.43,0.4,80.0
2,94.0,0.35,25.49,0.09,2.21,0.4,80.0
2,95.0,0.41,9.43,0.53,5.02,0.8,80.0
2,96.0,0.68,12.64,0.37,4.62,0.4,80.0
2,97.0,0.74,13.85,0.36,5.02,0.8,80.0
2,98.0,0.76,24.88,0.36,9.03,0.6,80.0
2,99.0,0.75,32.51,1.01,32.91,1.0,80.0
2,100.0,0.52,29.5,0.16,4.82,0.8,80.0
2,101.0,1.76,25.28,1.1,27.69,1.4,80.0
