dataset,n_total,n_train,config,init_seed,hare_scale,lynx_scale,map_rmse,map_rel_err,sigma_hat_mean,sigma_hat_std,coverage_full_hare,coverage_full_lynx,coverage_forecast_hare,coverage_forecast_lynx,post_mse_mean,accept,ebfmi,treedepth,ndiverge,ess_min,rhat_max,runtime_s
Hudson Bay lynx-hare 1900–1920,21,15,"MAP=1500/300, NUTS=50/50, max_depth=6, tol=1.0e-6, train_frac=0.7",42,41.46,19.9,0.25618598605703713,0.26645376577016205,0.1349293897879872,0.027117457044732722,0.9523809523809523,0.8095238095238095,1.0,0.5,0.060428686510249,0.7882791136272097,1.783018687256186,5.68,5,1.5778893576857773,2.1422762685062984,230.117882958
Hudson Bay lynx-hare 1900–1920,21,15,"MAP=4000/500, NUTS=50/50, max_depth=6, tol=1.0e-6, train_frac=0.7",42,41.46,19.9,0.24835672209790302,0.2583107096365005,0.10633217999365523,0.003505314476363389,0.7619047619047619,0.7619047619047619,0.6666666666666666,0.6666666666666666,0.06181210320963528,0.7769816805852122,2.5004678616897023,5.6,5,1.6591200320452428,1.9776825742064907,244.080700917
Hudson Bay lynx-hare 1900–1920,21,15,"MAP=6000/800, NUTS=50/50, max_depth=6, tol=1.0e-6, train_frac=0.7",42,41.46,19.9,0.264408608007282,0.2750059454458269,0.09565722787637818,0.004262882143048423,0.8571428571428571,0.8095238095238095,0.6666666666666666,0.3333333333333333,0.07079858782630684,0.7776106765242927,2.262427365220089,5.62,5,1.5904065677664427,2.1361153204281216,289.196608125
Hudson Bay lynx-hare 1900–1920,21,15,"MAP=6000/800, NUTS=100/100, max_depth=8, tol=1.0e-6, train_frac=0.7",42,41.46,19.9,0.264408608007282,0.2750059454458269,0.09533587303606048,0.005534822192892313,0.8095238095238095,0.9047619047619048,0.3333333333333333,0.6666666666666666,0.06291061509030844,0.7861085168722532,0.71803245560389,7.53,13,1.4104028032781522,2.119744721507671,2295.963241584
Hudson Bay lynx-hare 1900–1920,21,15,"MAP=6000/800, NUTS=50/50, max_depth=8, tol=1.0e-6, train_frac=0.7",42,41.46,19.9,0.264408608007282,0.2750059454458269,0.0957244645267726,0.006351588734957626,0.8571428571428571,0.8095238095238095,0.3333333333333333,0.5,0.07411430896318909,0.7683303932945661,1.148988686518471,7.3,9,2.131853597026186,1.577101639994129,1111.211239916
