dataset,experiment,n_total,n_train,n_dropped,config,init_seed,algae_scale,rotif_scale,map_rmse,map_rel_err,sigma_hat_mean,sigma_hat_std,coverage_full_algae,coverage_full_rotif,coverage_forecast_algae,coverage_forecast_rotif,post_mse_mean,accept,ebfmi,treedepth,ndiverge,ess_min,rhat_max,runtime_s
Blasius 2020 rotifer–algae chemostat C9,9,50,35,0,"MAP=4000/500, NUTS=50/50, max_depth=8, tol=1.0e-6, train_frac=0.7, tmax=7.0",42,1.1377142857142855,22.716000000000005,0.5364022454619126,0.4898606842098611,0.4234234084394132,0.08752649405704761,0.74,0.84,0.8,0.7333333333333333,0.363747529184237,0.7807560465791148,0.4324713542707854,7.58,6,1.5870959854393427,2.1325963881928964,2264.12237625
Blasius 2020 rotifer–algae chemostat C9,9,50,35,0,"MAP=4000/500, NUTS=30/70, max_depth=8, tol=1.0e-6, train_frac=0.7, tmax=7.0",42,1.1377142857142855,22.716000000000005,0.6855423003265381,0.6260604297127332,0.39101354223623697,0.10487077953984962,0.76,0.8,0.6,0.6,0.4201636045726316,0.778101102719696,0.42422301995221423,7.666666666666667,3,2.4627455638931397,1.5705019609305784,677.203337208
Blasius 2020 rotifer–algae chemostat C9,9,50,35,0,"MAP=4000/500, NUTS=30/70, max_depth=6, tol=1.0e-5, train_frac=0.7, tmax=7.0",42,1.1377142857142855,22.716000000000005,0.6844710272331657,0.6250821068683852,0.1961265519100045,0.05763506487520634,0.52,0.64,0.4,0.26666666666666666,0.5037388929740934,0.7808155632059302,0.10774694152119585,5.6,3,1.8472798451913073,2.14597617325523,114.48662975
Blasius 2020 rotifer–algae chemostat C9,9,50,35,0,"MAP=4000/500, NUTS=40/160, max_depth=7, tol=1.0e-6, train_frac=0.7, tmax=7.0",42,1.1377142857142855,22.716000000000005,0.6855423003265381,0.6260604297127332,0.3525379662776198,0.1089042605772783,0.74,0.78,0.6,0.6666666666666666,0.42442959179864437,0.7905596116992617,0.2033661153097992,6.85,1,1.660036759050905,2.1305918964177852,474.488484208
