Date,growth_cumulative_ret,value_cumulative_ret
2020-01-03,0.9927666986598415,0.9932859852877627
2020-01-06,0.9991028580569479,0.9941615303671603
2020-01-07,0.9970284561515765,0.9911695525661656
2020-01-08,1.0052706089367602,0.9932859852877628
2020-01-09,1.0135126728520139,0.997664837512393
2020-01-10,1.0117184778358395,0.9938698072104326
2020-01-13,1.0209140272297468,0.9994891088665125
2020-01-14,1.017325637197398,1.001094400048479
2020-01-15,1.021362464896378,1.0013135054237037
2020-01-16,1.0308942981052933,1.008610966449396
2020-01-17,1.0348751377483916,1.010508544201912
2020-01-21,1.0343144573602077,1.0062757413602528
2020-01-22,1.0350431907859658,1.0066406457123054
2020-01-23,1.0368373858021402,1.0070056752674295
2020-01-24,1.027474049980449,0.9980294288567666
2020-01-27,1.0098120400981128,0.9840178279157653
2020-01-28,1.0224837368028157,0.9918993612702706
2020-01-29,1.024726636095411,0.9876668088347547
2020-01-30,1.0266892396288794,0.9921913974346769
2020-01-31,1.008690501581885,0.9746767397545859
2020-02-03,1.0207457075823827,0.9790555919792159
2020-02-04,1.0409866339625327,0.9898560471424622
2020-02-05,1.0452480359745477,1.00525420949942
2020-02-06,1.0514715971703816,1.0054001336793195
2020-02-07,1.0469859763250506,0.9991969474990342
2020-02-10,1.058256283104049,1.0026270108474065
2020-02-11,1.0588729515481143,1.0070056752674292
2020-02-12,1.0679561693505388,1.010654468381811
2020-02-13,1.067115015463368,1.0108732607493567
2020-02-14,1.0709838789947037,1.0105815375926293
2020-02-18,1.0707595712914582,1.0056189886484013
2020-02-19,1.078160836799261,1.0085380982617496
2020-02-20,1.0714883935871462,1.0087571410354383
2020-02-21,1.0546678042017708,1.0038674602788562
2020-02-24,1.0164842167004378,0.9747499835514467
2020-02-25,0.986094610927447,0.9443187509941908
2020-02-26,0.9862068536489997,0.9341747981366528
2020-02-27,0.9411271373218162,0.8946214575903707
2020-02-28,0.9417997938217629,0.8841127255838518
2020-03-02,0.9849172620951979,0.9171711567931213
2020-03-03,0.9551441470264126,0.893599675323395
2020-03-04,0.9965235860794147,0.9292852425831424
2020-03-05,0.9635545305890304,0.8973215870315662
2020-03-06,0.9487522661832147,0.8800261599297713
2020-03-09,0.8814691976822727,0.801795023916604
2020-03-10,0.929857186022538,0.8377726899422935
2020-03-11,0.8864030784543746,0.7928190279120845
2020-03-12,0.8054947389001461,0.71334725466286
