Date,Growth_Population,Value_Population
2020-01-31,0.9903278963239942,0.9779599848367085
2020-02-03,1.000788835918478,0.9830553969395792
2020-02-04,1.018542706189431,0.9941148685917266
2020-02-05,1.0203052512268156,1.0088655041499854
2020-02-06,1.0240714165197025,1.0083989666934925
2020-02-07,1.0180431246740036,1.0021004451433888
2020-02-10,1.0266786144304805,1.0050991069307504
2020-02-11,1.0253891510601048,1.0091081391875292
2020-02-12,1.03165605053191,1.0122797961693946
2020-02-13,1.0285704716278419,1.0120144224171923
2020-02-14,1.030308783580176,1.0116225210137753
2020-02-18,1.0283180501434155,1.0069013345718836
2020-02-19,1.0332505289322251,1.009709992931533
2020-02-20,1.0250660858624523,1.0098221764956021
2020-02-21,1.0081143539181312,1.0050852585228787
2020-02-24,0.9721268785204701,0.977071133472149
2020-02-25,0.9441341034773414,0.9484542596916024
2020-02-26,0.9458841772396384,0.9409938323831197
2020-02-27,0.9062807914824769,0.9053946597723398
2020-02-28,0.910650824076796,0.8996799234382239
2020-03-02,0.9534380793216056,0.9360593207367268
2020-03-03,0.9275619460977023,0.9159967595657003
2020-03-04,0.9698401944990548,0.9555432467890783
2020-03-05,0.9414967423965162,0.9278250264661534
2020-03-06,0.9317090203534051,0.9158780639819357
2020-03-09,0.8727269223727607,0.8431206526032019
2020-03-10,0.926524460649042,0.8886550594731917
2020-03-11,0.8908811612087912,0.8506341203921997
2020-03-12,0.820384685133371,0.7777719810080623
2020-03-13,0.9024781049043469,0.8565534626401062
2020-03-16,0.8084321255420697,0.7702220126018803
2020-03-17,0.8668435462645994,0.8333160076086144
2020-03-18,0.8396404782970107,0.7909965180577625
2020-03-19,0.856715056217205,0.8051324457377373
2020-03-20,0.8341661445329459,0.7889277184626212
2020-03-23,0.8324031292224657,0.7702010038014775
2020-03-24,0.9177653323839113,0.863263757044989
2020-03-25,0.9340740398553123,0.8966322591996378
2020-03-26,0.9943800703548618,0.9604207325658548
2020-03-27,0.9668376328830592,0.9427759990105036
2020-03-30,1.007446042978644,0.9806588517227595
2020-03-31,0.999530026042042,0.9733017669700202
2020-04-01,0.967071667707643,0.9422476058586714
2020-04-02,0.9933409618400221,0.9773090693547121
2020-04-03,0.9860300534764447,0.9735120319613652
2020-04-06,1.0584900542709479,1.0396005348510646
2020-04-07,1.0601187515932293,1.0527733810646078
2020-04-08,1.0922450783605104,1.0965164256759143
2020-04-09,1.0949717851603653,1.1181210976927594
2020-04-13,1.0903130570323594,1.0939173428058502
2020-04-14,1.1214709897746395,1.1064841383713306
2020-04-15,1.0996234196678383,1.0676437525301432
2020-04-16,1.1025378569008415,1.0567870451174397
2020-04-17,1.1112391566556072,1.0892244412728471
2020-04-20,1.0849506079596198,1.056972004823394
2020-04-21,1.036673400708869,1.0204458339063258
2020-04-22,1.0573765439319356,1.0304209789434293
2020-04-23,1.049088733422444,1.0252652333650265
2020-04-24,1.0608768640897115,1.0345061799335615
2020-04-27,1.0650539980706564,1.0529305907628388
2020-04-28,1.0467252960534748,1.0567982894410757
2020-04-29,1.0700946726893938,1.0742223874781052
2020-04-30,1.0591747087796917,1.0422200809604676
2020-05-01,1.02468705701073,1.0065562785815336
2020-05-04,1.0255602566470234,0.9998644004095407
2020-05-05,1.0341389300326098,1.0014365138755725
2020-05-06,1.029851456436416,0.9839821259526399
2020-05-07,1.0387163984080594,0.9964114705811231
2020-05-08,1.0476800074226709,1.0198165825581538
2020-05-11,1.0502229547973714,1.0092228902125153
2020-05-12,1.026934108217073,0.9876335511937842
2020-05-13,1.0093881657999009,0.964637862235178
2020-05-14,1.0179134980343911,0.9784041773872428
2020-05-15,1.024420110833277,0.9797316148603922
