Date,growth_ret,value_ret
2020-01-03,-0.5120092924999299,-0.5326298072242155
2020-01-06,0.3671353071815574,0.0421711474292691
2020-01-07,-0.17765026636503853,-0.2517530250148231
2020-01-08,0.48788610997157944,0.1366550521962744
2020-01-09,0.4835529087402655,0.30756890402224024
2020-01-10,-0.1578284162825916,-0.31185705237087685
2020-01-13,0.5404984191382828,0.4011352858258642
2020-01-14,-0.27073925379575087,0.09677019695338979
2020-01-15,0.21213899763853475,-0.007818982450285242
2020-01-16,0.5560832758083086,0.5236603995043376
2020-01-17,0.20527825899968052,0.1175241447519533
2020-01-21,-0.07845263826024347,-0.3410581494006981
2020-01-22,0.0019994409116010354,0.0030683873925520994
2020-01-23,0.06830917644809496,0.0030350033193933153
2020-01-24,-0.6290064320649877,-0.6999539941701235
2020-01-27,-1.1625835677894547,-1.0912019982128431
2020-01-28,0.7614008317092134,0.5776644695188737
2020-01-29,0.09793213083395616,-0.34697047275794174
2020-01-30,0.08002146224860843,0.32057075127074813
2020-01-31,-1.184977733554733,-1.3682377052491246
2020-02-03,0.7233095928606972,0.3139588365568789
2020-02-04,1.2238596543038434,0.803542608337096
2020-02-05,0.2201923288026131,1.1404699180210323
2020-02-06,0.33969163630152976,-0.013337230211332781
2020-02-07,-0.31942110181201305,-0.49129831472950186
2020-02-10,0.6475756498862951,0.2342508722493584
2020-02-11,-0.005859437454391594,0.30452601602338036
2020-02-12,0.5078214249511174,0.24859626266045873
2020-02-13,-0.09431444342560857,-0.00793756155951745
2020-02-14,0.19008128623519085,-0.046116424431685406
2020-02-18,-0.0569781655948087,-0.39574530703466304
2020-02-19,0.4011021267092014,0.19439200130552553
2020-02-20,-0.44415173086230747,-0.007912578400711103
2020-02-21,-1.0647431672510577,-0.39095994753743485
2020-02-24,-2.423515816173803,-2.2453978531607426
2020-02-25,-2.0025306294401335,-2.417654163909891
2020-02-26,-0.03612883920966788,-0.8392739658100868
2020-02-27,-3.063279939664124,-3.2888803995534954
2020-02-28,0.002645365434963391,-0.9159167049373573
2020-03-02,2.845756835862553,2.745758038522647
2020-03-03,-2.024611631458795,-1.9889860193846811
2020-03-04,2.6937931333307237,2.930495091148508
2020-03-05,-2.2149175221417297,-2.66548451800369
2020-03-06,-1.0426741032902502,-1.4929392756427222
2020-03-09,-4.791104642038425,-7.049403159998719
2020-03-10,3.4057425360922617,3.287848221992434
2020-03-11,-3.1324143953395076,-4.18600572590478
2020-03-12,-6.2211638374536635,-7.994763457248119
2020-03-13,5.485917098933378,6.281777100597479
2020-03-16,-8.139146132339174,-9.410747912218298
2020-03-17,3.605413959299439,4.735524385028434
2020-03-18,-3.12450849517301,-5.3896842711266615
2020-03-19,0.25242455191184704,-0.15411846651209826
2020-03-20,-2.843349045461913,-3.1578158555153544
2020-03-23,-1.18558768881216,-3.470602575639385
